[2025-08-29T20:10:35.222Z] GET /src/pages/Dashboard.tsx -> 200 (107ms)
[2025-08-29T20:10:35.222Z] GET /src/pages/Documentation.tsx -> 200 (105ms)
[2025-08-29T20:10:35.223Z] GET /src/pages/Login.tsx -> 200 (106ms)
[2025-08-29T20:10:35.223Z] GET /src/pages/Callback.tsx -> 200 (106ms)
[2025-08-29T20:10:35.231Z] GET /src/utils/storage.ts -> 200 (3ms)
[2025-08-29T20:10:35.231Z] GET /src/config/pingone.ts -> 200 (3ms)
[2025-08-29T20:10:35.231Z] GET /node_modules/.vite/deps/react-icons_fi.js?v=bcf562e2 -> 200 (3ms)
[2025-08-29T20:10:35.231Z] GET /src/components/Card.tsx -> 200 (3ms)
[2025-08-29T20:10:35.231Z] GET /src/utils/oauth.ts -> 200 (3ms)
[2025-08-29T20:10:35.236Z] GET /@id/__vite-browser-external:crypto -> 200 (1ms)
[2025-08-29T20:10:35.279Z] GET /favicon.ico -> 200 (5ms)
[2025-08-29T20:12:33.500Z] GET / -> 200 (27ms)
[2025-08-29T20:12:33.796Z] GET /@react-refresh -> 200 (10ms)
[2025-08-29T20:12:33.804Z] GET /@vite/client -> 200 (21ms)
[2025-08-29T20:12:33.804Z] GET /.well-known/appspecific/com.chrome.devtools.json -> 200 (19ms)
[2025-08-29T20:12:33.807Z] GET /node_modules/vite/dist/client/env.mjs -> 200 (1ms)
[2025-08-29T20:12:33.815Z] GET /src/main.tsx -> 200 (30ms)
[2025-08-29T20:12:33.850Z] GET /node_modules/.vite/deps/react_jsx-dev-runtime.js?v=14806606 -> 200 (8ms)
[2025-08-29T20:12:33.851Z] GET /node_modules/.vite/deps/react.js?v=14806606 -> 200 (9ms)
[2025-08-29T20:12:33.851Z] GET /node_modules/.vite/deps/react-dom_client.js?v=fc72ea5c -> 200 (8ms)
[2025-08-29T20:12:33.851Z] GET /node_modules/.vite/deps/react-router-dom.js?v=a532ee4c -> 200 (8ms)
[2025-08-29T20:12:33.851Z] GET /node_modules/.vite/deps/styled-components.js?v=c009ef97 -> 200 (7ms)
[2025-08-29T20:12:33.856Z] GET /src/App.tsx -> 200 (12ms)
[2025-08-29T20:12:33.856Z] GET /src/styles/global.ts -> 200 (12ms)
[2025-08-29T20:12:33.860Z] GET /node_modules/.vite/deps/chunk-I4MZPW7S.js?v=ce09d79c -> 200 (4ms)
[2025-08-29T20:12:33.951Z] GET /node_modules/.vite/deps/chunk-QXLG2TGQ.js?v=ce09d79c -> 200 (94ms)
[2025-08-29T20:12:33.971Z] GET /src/components/Navbar.tsx -> 200 (111ms)
[2025-08-29T20:12:33.972Z] GET /src/components/CredentialSetupModal.tsx -> 200 (112ms)
[2025-08-29T20:12:33.972Z] GET /src/pages/Dashboard.tsx -> 200 (112ms)
[2025-08-29T20:12:33.972Z] GET /src/pages/Flows.ts -> 200 (112ms)
[2025-08-29T20:12:33.972Z] GET /src/pages/Configuration.tsx -> 200 (112ms)
[2025-08-29T20:12:33.972Z] GET /src/pages/Documentation.tsx -> 200 (111ms)
[2025-08-29T20:12:33.972Z] GET /src/pages/Login.tsx -> 200 (111ms)
[2025-08-29T20:12:33.972Z] GET /src/pages/Callback.tsx -> 200 (111ms)
[2025-08-29T20:12:33.972Z] GET /src/contexts/AuthContext.tsx -> 200 (112ms)
[2025-08-29T20:12:33.972Z] GET /src/components/Sidebar.tsx -> 200 (112ms)
[2025-08-29T20:12:33.978Z] GET /node_modules/.vite/deps/react-icons_fi.js?v=0271827d -> 200 (0ms)
